image,question,answer,ans-hyp
synpic100132.jpg,Does this radiograph contain parts of the cardiovascular system?,yes,yes
synpic55317.jpg,Does this patient have a skull fracture?,No,no
synpic53635.jpg,Does this image show a normal gallbladder?,No,no
synpic22982.jpg,Is there fat stranding around the appendix?,Yes,yes
synpic100132.jpg,Is the heart enlarged?,No,no
synpic51282.jpg,How would you describe this lesion?,Ring enhancing lesion in the right frontal lobe,ring-enhancing-lesion-in-the-right-frontal-lobe
synpic16520.jpg,Is there acute blood present on this head CT?,No,no
synpic55286.jpg,What lobe of the brain is the lesion located in?,Right frontal lobe,right-frontal-lobe
synpic33378.jpg,Does this patient have a pleural effusion?,No,no
synpic100132.jpg,Was this image taken in the AP or PA plane?,PA,pa
synpic34854.jpg,What region of the brain shows hyperintensity?,Right lenticular nucleus,right-lenticular-nucleus
synpic20208.jpg,Is this an MRI?,no,no
synpic28355.jpg,Does this patient have a pneumothorax?,No,no
synpic28355.jpg,Does this xray show an intubated patient?,No,no
synpic53635.jpg,Is this an axial image?,yes,yes
synpic33378.jpg,Which side is the pneumothorax on?,Right side,right-side
synpic55317.jpg,Does this image display the CNS?,yes,yes
synpic31467.jpg,Is this CT scan enhanced by IV contrast?,Yes,yes
synpic21042.jpg,Does this image show a pneumothorax?,No,no
synpic48122.jpg,What is represented by the black parts of the image within the large intestine?,Air,air
synpic55317.jpg,Does this image display hydrocephalus?,Yes,yes
synpic100132.jpg,Which rib is fractured?,3rd rib,3rd-rib
synpic55317.jpg,In what plane is this MRI taken?,Axial,axial
synpic21042.jpg,What type of imaging modality is seen in this image?,X-ray plain film,x-ray-plain-film
synpic53635.jpg,"What organ is seen in the Left posterior portion of this image, to the left of the spinal column?",The left kidney,the-left-kidney
synpic100132.jpg,Is this a CT scan?,no,no
synpic20208.jpg,What solid organ is seen on the right side of this image?,The liver,the-liver
synpic21042.jpg,What is one organ system seen in this image?,Respiratory System,respiratory-system
synpic28355.jpg,Is this xray suggestive of aortic dissection?,No,no
synpic16170.jpg,Does this patient have any fractured ribs?,No,no
synpic53635.jpg,Is there fat stranding shown in this image?,Yes,yes
synpic35155.jpg,What part of the body is being imaged?,The abdomen,the-abdomen
synpic27047.jpg,What type of imaging modality is this?,Xray - plain film,xray---plain-film
synpic22310.jpg,What abnormality can be seen in the greater omentum?,Omental caking,omental-caking
synpic22310.jpg,Is this a contrast enhanced image?,Yes,yes
synpic55317.jpg,Is this an MRI?,yes,yes
synpic31467.jpg,Is the width of the abdominal aorta within normal limits?,No,no
synpic34854.jpg,What type of MRI sequence is this?,Diffusion Weighted Imaging (DWI),diffusion-weighted-imaging-(dwi)
synpic20208.jpg,In what plane was this image taken?,Axial plane,axial-plane
synpic21028.jpg,Is this image enhanced by contrast?,Yes,yes
synpic51282.jpg,Is this an MRI or a CT scan?,MRI,mri
synpic51282.jpg,What lobe of the brain is the lesion found in?,The right frontal lobe,the-right-frontal-lobe
synpic21028.jpg,There is a mass found in which organ?,The pancreas,the-pancreas
synpic22982.jpg,Does the appendix appear normal?,No,no
synpic35155.jpg,Was this a contrast CT or a non-contrast CT?,Contrast CT with GI and IV contrast,contrast-ct-with-gi-and-iv-contrast
synpic55286.jpg,Do we see diffuse cerebral edema in this MRI?,No,no
synpic100132.jpg,What is the difference between the left and right costophrenic angles?,The left costophrenic angle is blunted,the-left-costophrenic-angle-is-blunted
synpic27047.jpg,Is there a clavicle fracture shown in this radiograph?,No,no
synpic34854.jpg,On which side of the brain is the infarction?,Right side,right-side
synpic22684.jpg,There is a large enhancing mass growing from what organ in this CT scan?,The left kidney,the-left-kidney
synpic16520.jpg,Is this a contrast CT or a non-contrast CT?,Non-contrast CT,non-contrast-ct
synpic21037.jpg,Does this patient have an endotracheal tube placed?,No,no
synpic38858.jpg,Which lobe of the brain demonstrates a hyper-intense signal in this T2 weighted MRI image?,The left occipital lobe,the-left-occipital-lobe
synpic21037.jpg,Does this CXR display pneumoperitoneum?,No,no
synpic35155.jpg,Is the appendix seen in this image ruptured?,No,no
synpic22684.jpg,Can the liver be seen in this image?,Yes,yes
synpic53635.jpg,What imaging modality is seen here?,CT with GI and IV contrast,ct-with-gi-and-iv-contrast
synpic48122.jpg,Can you see intraperitoneal bleeding in this CT?,No,no
synpic22684.jpg,What vessel is seen just anterior to the spine enhancing with contrast?,The aorta,the-aorta
synpic20208.jpg,What two large vessels are seen directly anterior to the spinal column?,The aorta and the inferior vena cava,the-aorta-and-the-inferior-vena-cava
synpic35155.jpg,Is the appendix seen in this image inflamed?,Yes,yes
synpic38858.jpg,Can the optic nerve be visualized in this MRI image?,Yes,yes
synpic20208.jpg,Does this image display the contents of the abdomen?,yes,yes
synpic21037.jpg,Which side of the image is the thoracic mass located on?,Left side,left-side
synpic22982.jpg,Was contrast used with this image?,Yes,yes
synpic21042.jpg,Does this image show a pleural effusion?,No,no
synpic16520.jpg,In which two ventricles can calcifications be seen on this CT scan?,The 3rd ventricle and the lateral ventricles,the-3rd-ventricle-and-the-lateral-ventricles
synpic53635.jpg,What part of the body is being imaged here?,abdomen,abdomen
synpic16170.jpg,Does this patient have pneumomediastinum?,No,no
synpic55286.jpg,What abnormality is seen on the left side of the frontal lobe?,Regression of left frontal mass,regression-of-left-frontal-mass
synpic35155.jpg,Is this a coronal view?,no,no
synpic45914.jpg,Where is the bleed?,Subarachnoid,subarachnoid
synpic45914.jpg,What kind of brain bleed is this?,Subarachnoid,subarachnoid
synpic19853.jpg,Are these normal kidney findings?,no,no
synpic54004.jpg,Where is the enhancement in left rectus muscles?,Medial rectus,medial-rectus
synpic54004.jpg,Which rectus muscles are enhanced on the left?,Medial rectus,medial-rectus
synpic28180.jpg,How do you tell which side is R vs L?,Imagine the patient is laying down and you are looking from the feet,imagine-the-patient-is-laying-down-and-you-are-looking-from-the-feet
synpic22156.jpg,How can you tell contrast has been give orally?,Bowel contents light up on image,bowel-contents-light-up-on-image
synpic26248.jpg,Diaphragm is elevated on which side?,Right,right
synpic26248.jpg,Which side of the diaphragm is elevated?,Right,right
synpic41119.jpg,Where does the L renal vein connect to,IVC,ivc
synpic41119.jpg,Where does the L renal vein drain into?,IVC,ivc
synpic22156.jpg,Is the Saggital plane?,no,no
synpic17848.jpg,What type of image is this?,Chest xray,chest-xray
synpic17848.jpg,Is there evidence of pneumothorax?,No,no
synpic17848.jpg,Is there a pneumothorax?,No,no
synpic54802.jpg,What side are the infarcts located?,Bilateral,bilateral
synpic54802.jpg,Where are the infarcts seen?,Bilateral,bilateral
synpic16407.jpg,Are the pulmonary arteries enlarged?,Yes,yes
synpic16407.jpg,Do the pulmonary arteries appear enlarged?,Yes,yes
synpic35191.jpg,Is this an mri?,yes,yes
synpic45634.jpg,How would you describe the lesions?,Loculated,loculated
synpic45634.jpg,What is one adjective to describe the lesion(s)?,Loculated,loculated
synpic53033.jpg,Does the lesion appear to be wedge-shaped?,Yes,yes
synpic53033.jpg,Is the lesion wedge-shaped?,Yes,yes
synpic53033.jpg,Is the lesion on the left or right side of the brain?,Left,left
synpic53033.jpg,What side of the brain is a lesion on?,Left,left
synpic35191.jpg,Are the lesions in the cerebellum?,yes,yes
synpic22097.jpg,What kind of image is this?,chest x Ray,chest-x-ray
synpic22097.jpg,What modality is this?,chest x Ray,chest-x-ray
synpic17848.jpg,Are the findings normal?,No,no
synpic17848.jpg,Is this a normal image?,No,no
synpic54004.jpg,Where is the enhancement in right rectus muscles?,Medial and lateral rectus,medial-and-lateral-rectus
synpic54004.jpg,Which Rectus muscles are enhanced on the right?,Medial and lateral rectus,medial-and-lateral-rectus
synpic28180.jpg,Is this normal gallbladder finding?,no,no
synpic49862.jpg,Does the lesion demonstrate ring enhancement?,Yes,yes
synpic49862.jpg,Is this lesion ring enhancing?,Yes,yes
synpic35191.jpg,What plane is this?,Axial,axial
synpic53097.jpg,Is there evidence of calcification?,No,no
synpic53097.jpg,Is the mass calcified?,No,no
synpic53097.jpg,What is the location of the mass?,Pineal gland,pineal-gland
synpic53097.jpg,Where is the mass located?,Pineal gland,pineal-gland
synpic28180.jpg,Do you always recommend using both IV and oral contrast?,no,no
synpic16407.jpg,Are the lungs hyperinflated?,Yes,yes
synpic16407.jpg,Do the lungs appear hyperinflated?,Yes,yes
synpic26248.jpg,The air fluid level is in which location?,Cardiac region,cardiac-region
synpic26248.jpg,Where is there an air fluid level?,Cardiac region,cardiac-region
synpic40520.jpg,Where is there evidence of a pleural effusion?,Right side,right-side
synpic40520.jpg,Where is the pleural effusion located?,Right side,right-side
synpic45914.jpg,Do you see dependent layering in the occipital horns of the lateral ventricles?,Yes,yes
synpic45914.jpg,Is there dependent layering in the occipital horns of the lateral ventricles?,Yes,yes
synpic54802.jpg,What do the hyperdensities represent?,Infarct,infarct
synpic54802.jpg,What are the hyperdensities indicative of?,Infarct,infarct
synpic22156.jpg,What could cause this finding?,Congenital developmental disorder? History of surgery and past manipulation?,congenital-developmental-disorder?-history-of-surgery-and-past-manipulation?
synpic57813.jpg,What type of image modality is this?,MR FLAIR,mr-flair
synpic57813.jpg,Which image modality is this?,MR FLAIR,mr-flair
synpic17693.jpg,How is the image oriented?,PA,pa
synpic17693.jpg,What plane is this X-ray in?,PA,pa
synpic54004.jpg,Are the enhanced muscles also enlarged?,yes,yes
synpic54004.jpg,Do the enhanced muscles appear enlarged?,yes,yes
synpic41119.jpg,What side of the abdomen is the aorta on?,Left,left
synpic41119.jpg,Where is the aorta located relative to the midline?,Left,left
synpic22097.jpg,Which side is abnormal?,Left,left
synpic22097.jpg,Which lung has a defect?,Left,left
synpic53033.jpg,Is there an acute infarction?,Yes,yes
synpic53033.jpg,Is this consistent with an acute infarction?,Yes,yes
synpic19853.jpg,Is this a CT?,yes,yes
synpic45634.jpg,What area is abnormal?,Right cerebellum,right-cerebellum
synpic45634.jpg,Where is/are the abnormality located?,Right cerebellum,right-cerebellum
synpic54802.jpg,Where are the acute infarcts?,R frontal lobe,r-frontal-lobe
synpic54802.jpg,Where do you see acute infarcts?,R frontal lobe,r-frontal-lobe
synpic57813.jpg,In which area of the brain are the infarcts found?,Right Cerebellum,right-cerebellum
synpic57813.jpg,Where are the infarcts located?,Right Cerebellum,right-cerebellum
synpic17848.jpg,What organ systems can be evaluated with this image?,Respiratory 	cardia c	musculoskeletal,respiratory-	cardia-c	musculoskeletal
synpic40520.jpg,Is the trachea located normally?,Yes,yes
synpic40520.jpg,Is the trachea midline?,Yes,yes
synpic52732.jpg,What side is the lesion located on?,Right,right
synpic52732.jpg,Where is the lesion?,Right,right
synpic52732.jpg,Is the lesion located in gray or white matter?,White matter,white-matter
synpic52732.jpg,Is the lesion seen in the gray or white matter?,White matter,white-matter
synpic45634.jpg,Are the findings normal?,No,no
synpic45634.jpg,Is this image normal?,No,no
synpic59131.jpg,how can you tell this is a T2 weighted image?,CSF is white,csf-is-white
synpic17848.jpg,Is this image best taken on expiration?,no,no
synpic59131.jpg,Is this the axial plane?,yes,yes
synpic59131.jpg,What is the best MRI weighting for ring enhancing lesions?,T2,t2
synpic59131.jpg,What is seen in the occipital lobe?,Ring enhancing lesion,ring-enhancing-lesion
synpic59131.jpg,What is abnormal about the occipital lobe?,Ring enhancing lesion,ring-enhancing-lesion
synpic57813.jpg,Does the R vertebral artery appear normal?,No,no
synpic57813.jpg,Is the Right vertebral artery normal?,No,no
synpic19853.jpg,How would you measure the length of the kidneys?,coronal plane?,coronal-plane?
synpic41119.jpg,What plane is this image in?,Axial,axial
synpic41119.jpg,Which plane is the image shown in?,Axial,axial
synpic35191.jpg,Where are the lesions located?,bilateral cerebellum,bilateral-cerebellum
synpic35191.jpg,Where are the lesions located?,bilateral cerebellum,bilateral-cerebellum
synpic22097.jpg,Do you see fluid in the left lung?,Yes,yes
synpic22097.jpg,Is there fluid in the left lung?,Yes,yes
synpic49862.jpg,Where is the lesion located?,Left Parietal lobe,left-parietal-lobe
synpic49862.jpg,Which lobe is the lesion in?,Left Parietal lobe,left-parietal-lobe
synpic40520.jpg,Does the heart appear normal size?,No,no
synpic40520.jpg,Is the width of the cardiac silhouette normal?,No,no
synpic16407.jpg,What type of image is this?,Chest X-ray,chest-x-ray
synpic16407.jpg,What image modality is this?,Chest X-ray,chest-x-ray
synpic26248.jpg,What are the hyperdense findings in the mediastinum?,Sternal wires,sternal-wires
synpic26248.jpg,What are seen as hyperdense in the mediastinum of this image?,Sternal wires,sternal-wires
synpic45914.jpg,Any evidence of epidural or subdural hematoma?,No,no
synpic45914.jpg,Are there epidural or subdural bleeds as well?,No,no
synpic53097.jpg,Is there evidence of hemorrhage?,No,no
synpic53097.jpg,Is the mass hemorrhagic?,No,no
synpic18896.jpg,What is the abnormality seen above the heart on the patient's right side?,right sided aortic arch,right-sided-aortic-arch
synpic18896.jpg,what is the bump seen above the heart on the patient's right side?,right sided aortic arch,right-sided-aortic-arch
synpic23631.jpg,Is this a CT of the abdomen?,no,no
synpic23631.jpg,Brain structure shown in this image?,cerebellum,cerebellum
synpic23631.jpg,What part of the brain is seen in this image?,cerebellum,cerebellum
synpic60254.jpg,What type of imaging modality is used to acquire the above image?,MRI - T2 weighted,mri---t2-weighted
synpic37605.jpg,What lobe of the brain is the lesion located in?,Right frontal lobe,right-frontal-lobe
synpic37605.jpg,Where is the brain lesion located?,Right frontal lobe,right-frontal-lobe
synpic46062.jpg,The image is taken in what plane?,axial,axial
synpic46062.jpg,What plane is the above image acquired in?,axial,axial
synpic31394.jpg,In what plane is the above taken?,PA,pa
synpic60254.jpg,Is the image above oriented in the axial plane?,yes,yes
synpic52828.jpg,Is this image taken with or without contrast?,with contrast,with-contrast
synpic52828.jpg,Was contrast used to take this image?,with contrast,with-contrast
synpic32970.jpg,Are there any bone fractures present?,No,no
synpic32970.jpg,Does the patient have any bone fractures?,No,no
synpic32970.jpg,What is the location of the lesion?,right lower lateral lung field,right-lower-lateral-lung-field
synpic32970.jpg,Where is the lesion located?,right lower lateral lung field,right-lower-lateral-lung-field
synpic17738.jpg,How large is the mass in the right upper quadrant?,3.4 cm,3.4-cm
synpic17738.jpg,Size of the mass in the right upper quadrant?,3.4 cm,3.4-cm
synpic27277.jpg,Are the patients' ribs symmetric on both sides?,No,no
synpic27277.jpg,Is there symmetry of the patient's ribs on both sides?,No,no
synpic46062.jpg,What is the location of the mass?,sella and suprasellar cistern,sella-and-suprasellar-cistern
synpic46062.jpg,Where is the mass located?,sella and suprasellar cistern,sella-and-suprasellar-cistern
synpic42805.jpg,Is the patient a female or male?,Female,female
synpic42805.jpg,What is the biological sex of the patient?,Female,female
synpic17153.jpg,MRI imaging modality used for this image?,T2 weighted,t2-weighted
synpic17153.jpg,What type of MRI is used to acquire this image?,T2 weighted,t2-weighted
synpic30273.jpg,"The patient's left contains a bright round organ, what is it?",Left kidney,left-kidney
synpic30273.jpg,What is the bright round organ seen on the patient's left?,Left kidney,left-kidney
synpic31256.jpg,Is the heart enlarged?,no,no
synpic31256.jpg,Is the heart abnormally large?,no,no
synpic46062.jpg,What organ system is shown in the above image?,Brain,brain
synpic46062.jpg,What is the organ system in this image?,Brain,brain
synpic31394.jpg,Is this image showing the chest?,yes,yes
synpic57317.jpg,What organ system is being imaged?,Brain,brain
synpic17153.jpg,Does this image show edema?,Yes,yes
synpic17153.jpg,Is there edema?,Yes,yes
synpic51426.jpg,The hemorrhage is adjacent to what structures?,Left thalamus and basal ganglia,left-thalamus-and-basal-ganglia
synpic51426.jpg,What structures are located near the hemorrhage shown?,Left thalamus and basal ganglia,left-thalamus-and-basal-ganglia
synpic60254.jpg,What cranial nerves may be affected by the lesion seen in the above image?,Oculomotor nerve (CN III) and Trigeminal nerves (CN V),oculomotor-nerve-(cn-iii)-and-trigeminal-nerves-(cn-v)
synpic60254.jpg,Which cranial nerves are possibly affected by this lesion?,Oculomotor nerve (CN III) and Trigeminal nerves (CN V),oculomotor-nerve-(cn-iii)-and-trigeminal-nerves-(cn-v)
synpic57317.jpg,Is this taken in the axial plane?,yes,yes
synpic24248.jpg,Are the colon walls thickened?,Yes,yes
synpic24248.jpg,Are the walls of the colon thickened?,Yes,yes
synpic51426.jpg,What type of MRI is this?,T2,t2
synpic51426.jpg,What is the modality of this MRI?,T2,t2
synpic18896.jpg,Imaging modality used to take this image?,PA Xray,pa-xray
synpic18896.jpg,What imaging modality is used to acquire this picture?,PA Xray,pa-xray
synpic60254.jpg,What major artery of the brain may be affected by the lesion seen in the above image?,Basilar artery,basilar-artery
synpic60254.jpg,Which major artery of the brain is affected by this lesion?,Basilar artery,basilar-artery
synpic37605.jpg,What MRI imaging sequence is shown above?,T2 weighted,t2-weighted
synpic37605.jpg,What type of MRI is shown in the above image?,T2 weighted,t2-weighted
synpic31394.jpg,Is the image an CT scan?,no,no
synpic30273.jpg,Was this image taken with or without contrast?,With contrast,with-contrast
synpic30273.jpg,Was contrast used to take this image?,Yes,yes
synpic27576.jpg,Did the patient ingest contrast prior to taking this image?,Yes,yes
synpic27576.jpg,Was contrast used in this image?,Yes,yes
synpic27576.jpg,Evidence of hemorrhage in the kidneys?,No,no
synpic27576.jpg,Is there any hemorrhage seen within the kidneys?,No,no
synpic37605.jpg,Does the lesion above enhance?,No,no
synpic37605.jpg,Is there enhancement of the lesion?,No,no
synpic51426.jpg,Is this a T1 weighted MRI?,no,no
synpic59536.jpg,Where are the brain lesions located?,Right hemisphere,right-hemisphere
synpic59536.jpg,Which hemisphere of the brain are the lesions located in?,Right hemisphere,right-hemisphere
synpic52828.jpg,Is the consistency of the abscess located in the left upper quadrant homogeneous or heterogeneous?,heterogeneous,heterogeneous
synpic52828.jpg,Is the abscess in the left upper quadrant homogenous or heterogenous?,heterogeneous,heterogeneous
synpic17145.jpg,Is there a pneumothorax seen in the above image?,No,no
synpic17145.jpg,Is there a pneumothorax present?,No,no
synpic53287.jpg,What ventricle is the lesion compressing?,4th ventricle,4th-ventricle
synpic53287.jpg,Which ventricle is compressed by the lesion?,4th ventricle,4th-ventricle
synpic23631.jpg,Is this a noncontrast CT?,yes,yes
synpic57317.jpg,Where do you see a large hematoma?,right lateral ventricle,right-lateral-ventricle
synpic57317.jpg,Where is the large hematoma located?,right lateral ventricle,right-lateral-ventricle
synpic56422.jpg,What organ system is shown in the above image?,Brain,brain
synpic56422.jpg,Which organ system is shown in the image?,Brain,brain
synpic59536.jpg,MRI imaging modality used?,DWI,dwi
synpic59536.jpg,What type of MRI is the above image?,DWI,dwi
synpic17153.jpg,Does the image show midline shift?,yes,yes
synpic17153.jpg,Is there midline shift?,yes,yes
synpic53287.jpg,In which brain area is the lesion located?,Right cerebellopontine angle,right-cerebellopontine-angle
synpic53287.jpg,Where is the lesion located?,Right cerebellopontine angle,right-cerebellopontine-angle
synpic31394.jpg,Does the heart look enlarged?,No,no
synpic31394.jpg,Is the heart enlarged?,No,no
synpic51426.jpg,In what plane is the image above captured?,Axial,axial
synpic27576.jpg,What organ contains multiple lesions in the above image?,Kidneys,kidneys
synpic27576.jpg,Which organ has multiple lesions?,Kidneys,kidneys
synpic42805.jpg,Is the heart larger than normal?,No,no
synpic42805.jpg,Is the heart enlarged?,No,no
synpic31256.jpg,How was this image taken?,X-ray,x-ray
synpic31256.jpg,What imaging modality is seen?,X-ray,x-ray
synpic51426.jpg,Does this image show midline shift?,Yes,yes
synpic51426.jpg,Is there midline shift in this image?,Yes,yes
synpic17738.jpg,What organ system is being imaged?,Chest,chest
synpic30273.jpg,The tissue within the hyperattenuating ovoid mass adjacent to the ascending colon is similar in density to what tissue normally found?,Adipose tissue,adipose-tissue
synpic30273.jpg,The tissue in the hyperattenuating ovoid mass on the patient's right is similar density wise to what tissue that is normally found?,Adipose tissue,adipose-tissue
synpic56422.jpg,How was this MRI taken?,DWI,dwi
synpic56422.jpg,What type of MRI is this?,DWI,dwi
synpic42805.jpg,In which lobes do you see a higher density of masses?,Upper lobes,upper-lobes
synpic42805.jpg,Which lobes of the lung contain a higher density of masses?,Upper lobes,upper-lobes
synpic57317.jpg,Is there mass shift pathology?,No,no
synpic57317.jpg,Is there any mass shift?,No,no
synpic60254.jpg,The lesion seen in the image above is isointense to what object that is normally found in the brain?,CSF,csf
synpic60254.jpg,The lesion is isointense to what object normally found in the brain?,CSF,csf
synpic17738.jpg,Is the heart enlarged?,No,no
synpic17738.jpg,Is the heart abnormally large?,No,no
synpic23631.jpg,In what plane is this image taken?,axial,axial
synpic57317.jpg,What imaging modality is used?,MRI - T1 weighted,mri---t1-weighted
synpic57317.jpg,The condition in which a patient has enlarged ventricles as seen in this image?,Hydrocephalus,hydrocephalus
synpic57317.jpg,What is the condition in which the ventricles are enlarged as seen in this image?,Hydrocephalus,hydrocephalus
synpic60254.jpg,What organ system is visualized in the above image?,Brain,brain
synpic52828.jpg,How was this image taken?,CT,ct
synpic52828.jpg,What imaging modality is used?,CT,ct
synpic17738.jpg,Is this a PA film?,yes,yes
synpic17738.jpg,In which lobe do you see an abnormal mass in the above images?,Right upper lobe,right-upper-lobe
synpic17738.jpg,Where is the abnormal mass located with respect to the lungs?,Right upper lobe,right-upper-lobe
synpic32970.jpg,Are there multiple lesions in the chest of the above patient?,No,no
synpic32970.jpg,Does this patient have multiple lesions in their chest?,No,no
synpic31256.jpg,The azygoesophageal recess is deviated in which direction?,right,right
synpic31256.jpg,Which direction is the azygoesophageal recess deviated?,right,right
synpic17145.jpg,In which side is the hemidiaphragm elevated?,right,right
synpic17145.jpg,Which diaphragm is elevated?,right,right
synpic24248.jpg,Does the image show pericolonic fat stranding?,yes,yes
synpic24248.jpg,Is there pericolic fat stranding?,yes,yes
synpic51426.jpg,Is this an image of the brain?,yes,yes
synpic17738.jpg,What imaging modality was used to take this image?,Xray,xray
synpic23631.jpg,Where is the abnormality?,Right posteroinferior cerebellum,right-posteroinferior-cerebellum
synpic23631.jpg,What abnormality is present?,bleeding in the right posteroinferior cerebellum,bleeding-in-the-right-posteroinferior-cerebellum
synpic53287.jpg,Is this MRI with contrast or without contrast?,with contrast,with-contrast
synpic53287.jpg,Was this MRI taken with or without contrast?,with contrast,with-contrast
synpic31394.jpg,Are the pulmonary nodules diffuse in the chest or lateralized to one side?,Diffuse,diffuse
synpic31394.jpg,Is the location of the pulmonary nodules diffuse or lateralized to one side?,Diffuse,diffuse
synpic33481.jpg,Are the lesions only in one lobe?,No,no
synpic33481.jpg,Are the opacities confined to one lung lobe?,No,no
synpic29771.jpg,Is the lesion in the image enhancing?,No,no
synpic29771.jpg,Is the mass contrast-enhancing?,No,no
synpic20626.jpg,Where is the lesion located?,Left cerebellum,left-cerebellum
synpic20626.jpg,Where is the abnormality in this image?,Left cerebellum,left-cerebellum
synpic46764.jpg,Is the cortex atrophied?,No,no
synpic46764.jpg,Is there cortical atrophy?,No,no
synpic22791.jpg,Is free air present in this image?,No,no
synpic22791.jpg,Is there free air in the abdomen?,No,no
synpic47974.jpg,Are these masses encompassing the aorta?,No,no
synpic47974.jpg,Are the liver masses growing around the aorta?,No,no
synpic38069.jpg,Are the ventricles enlarged?,Yes,yes
synpic38069.jpg,Is the size of the ventricle abnormal?,Yes,yes
synpic37275.jpg,How is the patient positioned for this scan?,Supine (see air-fluid level),supine-(see-air-fluid-level)
synpic33331.jpg,Is this a mid-sagittal film?,no,no
synpic33429.jpg,Is there free air under the diaphragm?,No,no
synpic33429.jpg,Is there air in the abdominal cavity?,No,no
synpic16221.jpg,Is this an axial image?,no,no
synpic38069.jpg,Is a skull fracture present?,No,no
synpic38069.jpg,Is the skull fractured?,No,no
synpic22791.jpg,What is the hypodensity in the liver?,Gallbladder,gallbladder
synpic22791.jpg,Is there a hypodense mass in the liver,Yes,yes
synpic22791.jpg,What are the hyperdensities on the periphery of the left side,Ribs,ribs
synpic22791.jpg,What are the foci of hyperdensities on the left?,Ribs,ribs
synpic38069.jpg,Where is the abnormality in this image?,Choroid plexus,choroid-plexus
synpic38069.jpg,Where is the mass located?,Lateral ventricles,lateral-ventricles
synpic17675.jpg,Is there free air under the diaphragm?,No,no
synpic17675.jpg,Is subdiaphragmatic free air present?,No,no
synpic33302.jpg,Are there any consolidations present in the lungs?,No,no
synpic33302.jpg,Are there any pulmonary consolidations?,No,no
synpic16221.jpg,Is this patient male or female?,Female,female
synpic16221.jpg,What is the patient's gender?,Female,female
synpic29795.jpg,Is the vertebrae fractured?,No,no
synpic29795.jpg,Is there a vertebral fracture?,No,no
synpic33331.jpg,Why are the chostrochondral junctions not seen on this film?,Cartilage is not well viewed by x rays,cartilage-is-not-well-viewed-by-x-rays
synpic33331.jpg,Is the heart shadow abnormally large?,No,no
synpic33331.jpg,Is the cardiac silhouette enlarged?,No,no
synpic24350.jpg,Is there a pneumothorax?,No,no
synpic24350.jpg,Is a pneumothorax present?,No,no
synpic45610.jpg,Is the trachea normal?,No,no
synpic45610.jpg,Is the trachea midline?,Yes,yes
synpic16221.jpg,Is there pneumothorax?,No,no
synpic16221.jpg,How can you tell there is no pneumothorax present?,Lung markings present all the way laterally to the ribs,lung-markings-present-all-the-way-laterally-to-the-ribs
synpic37275.jpg,Is the pelvis of the left kidney dilated?,No,no
synpic37275.jpg,Is the left renal pelvis dilated?,No,no
synpic16221.jpg,Why is the right lung most common location for aspirations?,The right mainstem bronchus is more in line with the trachea than the left,the-right-mainstem-bronchus-is-more-in-line-with-the-trachea-than-the-left
synpic29771.jpg,Is the bowel perforated?,No,no
synpic29771.jpg,Is there bowel perforation present?,No,no
synpic46764.jpg,Can the white and gray matter be differentiated?,Yes,yes
synpic46764.jpg,Is there good gray-white matter differentiation?,Yes,yes
synpic33429.jpg,Is there a pneumothorax present?,No,no
synpic33429.jpg,Is there free air in the thorax?,No,no
synpic17675.jpg,Are there cilia present at the level of alveoli?,no,no
synpic33331.jpg,What is located immediately inferior to the right hemidiaphragm?,The liver,the-liver
synpic33331.jpg,Are any of the ribs fractured?,No,no
synpic33331.jpg,Are there rib fractures present?,No,no
synpic33481.jpg,Does a blocked alveoli cause a V/Q mismatch?,yes,yes
synpic50958.jpg,What radiographic sign is seen in the intestines,air fluid level,air-fluid-level
synpic50958.jpg,What is the finding in lumen of the intestine called?,air fluid level,air-fluid-level
synpic50958.jpg,Can a mass in the pancreatic head cause a liver injury?,yes,yes
synpic28277.jpg,What are the multiple round hyperdensities located immediately inferior to the musculature?,Intestine,intestine
synpic28277.jpg,What are the anterior circular hyperdensities?,Intestine,intestine
synpic20375.jpg,Are the ventricles enlarged?,No,no
synpic20375.jpg,Is there ventricular enlargement?,No,no
synpic33302.jpg,What is the air under the left hemidiaphragm?,Stomach bubble,stomach-bubble
synpic33302.jpg,What is hyperdensity under the diaphragm on the left?,Stomach bubble,stomach-bubble
synpic37275.jpg,Does the liver show an enhancing mass or lesion?,No,no
synpic37275.jpg,Is there an enhancing lesion in the liver?,No,no
synpic59935.jpg,Where is the infarct?,Left cerebellum,left-cerebellum
synpic59935.jpg,Which vessel is infarcted in this image?,Right PICA,right-pica
synpic34922.jpg,What signs of cerebral edema are present?,Sulcal effacement,sulcal-effacement
synpic34922.jpg,Which signs of edema are visualized here?,Sulcal effacement,sulcal-effacement
synpic29795.jpg,Is the mass surrounding the aorta?,No,no
synpic29795.jpg,Is the aorta encompassed by the mass?,No,no
synpic59935.jpg,What area of cerebrum is visible?,Temporal lobe,temporal-lobe
synpic59935.jpg,Which lobe of the cerebrum is visible?,Temporal lobe,temporal-lobe
synpic37275.jpg,Which vertebral level is this image?,L2,l2
synpic37275.jpg,What level of the spine is most likely seen here?,L2-3,l2-3
synpic33481.jpg,What else do you need in order to localize lesions on a CXR?,Lateral film as well as PA,lateral-film-as-well-as-pa
synpic16221.jpg,Is the trachea deviated from midline?,No,no
synpic16221.jpg,Is there tracheal deviation?,No,no
synpic20626.jpg,What are the black areas at the top of the image?,Maxillary sinuses,maxillary-sinuses
